Year,GDP Growth (%),Annual GDP Change (%)
2020,-3.49,-5.65
2019,2.16,-0.84
2018,3.0,0.66
2017,2.33,0.62
2016,1.71,-1.36
2015,3.08,0.55
2014,2.53,0.68
2013,1.84,-0.41
2012,2.25,0.7
2011,1.55,-1.01
2010,2.56,5.1
2009,-2.54,-2.4
2008,-0.14,-2.01
2007,1.88,-0.98
2006,2.86,-0.66
2005,3.51,-0.29
2004,3.8,0.94
2003,2.86,1.12
2002,1.74,0.74
2001,1.0,-3.13
2000,4.13,-0.63
1999,4.75,0.27
1998,4.48,0.03
1997,4.45,0.67
1996,3.77,1.09
1995,2.68,-1.34
1994,4.03,1.28
1993,2.75,-0.77
1992,3.52,3.63
1991,-0.11,-1.99
1990,1.89,-1.79
